r,month,CI,CI_normalized
r00,1984-03,0.6717636007257695,0.7991278675882141
r00,1984-04,0.5467966755111273,0.5939280684663297
r00,1984-05,0.3646860970248912,0.2948965122432647
r00,1984-06,0.4264582069628937,0.3963283473375629
r00,1984-07,0.1850937653107974,0.0
r00,1984-08,0.2564476763704546,0.1171654675095335
r00,1984-09,0.4683976153919418,0.4651942346125343
r00,1984-10,0.5642200122130974,0.6225377600718194
r00,1984-11,0.3234832278762098,0.227240046678214
r00,1984-12,0.3955616017475317,0.3455951059390812
r00,1985-01,0.3319449127593821,0.2411344114093404
r00,1985-02,0.5015065008723109,0.5195601129283527
r00,1985-03,0.5547886593999924,0.6070511687247676
r00,1985-04,0.5657611366142634,0.6250683369984578
r00,1985-05,0.498575706034406,0.5147476514632685
r00,1985-06,0.3481471897090298,0.2677390827627754
r00,1985-07,0.3248369147686167,0.229462845054014
r00,1985-08,0.2980413961209045,0.18546372261075
r00,1985-09,0.3783115509126721,0.3172699554236491
r00,1985-10,0.6384641725779319,0.7444491119488836
r00,1985-11,0.4073799809534383,0.3650012730895725
r00,1985-12,0.4347167027962757,0.4098890689696924
r00,1986-01,0.465939759589887,0.4611583545907931
r00,1986-02,0.4897252035081049,0.5002148353808902
r00,1986-03,0.5063709495520259,0.5275476975648616
r00,1986-04,0.3217510683950778,0.2243957838705562
r00,1986-05,0.6228827923348815,0.7188639733978313
r00,1986-06,0.382060899554228,0.3234265091418728
r00,1986-07,0.4175812136308564,0.3817520324813586
r00,1986-08,0.364387326194625,0.2944059207187569
r00,1986-09,0.4933816016560324,0.5062187613331024
r00,1986-10,0.7940949716931409,1.0
r00,1986-11,0.7326040374977212,0.8990298647178467
r00,1986-12,0.4437730665759785,0.4247599159972383
r00,1987-01,0.4898382357373023,0.5004004380168339
r00,1987-02,0.3644538868086127,0.2945152154349088
r00,1987-03,0.5392907305586029,0.5816030601184611
r00,1987-04,0.5132386647806599,0.5388247117261806
r00,1987-05,0.5455044024284008,0.5918061135848229
r00,1987-06,0.3243164472473634,0.2286082202752798
r00,1987-07,0.3589613491674732,0.285496288077167
r00,1987-08,0.4149563582195661,0.3774419336116326
r00,1987-09,0.3970992284422244,0.3481199395167135
